Date,downtime
2022-05-01 11:49:31,3
2022-05-15 06:21:23,1
2022-06-06 12:53:02,2
2022-08-29 06:26:26,2
2022-09-14 16:16:35,3
2022-10-01 11:23:12,4
2022-10-04 19:41:39,3
2022-11-21 08:11:55,4



