Date,downtime
2022-04-09 20:16:09,20
2022-05-02 19:22:21,28
2022-06-11 21:32:43,26
2022-06-25 20:32:02,18
2022-09-28 21:13:50,18
2022-10-10 19:45:12,25
2022-11-07 19:03:36,27


